Specimen ID,Sex,Family name,Latin Name,'County',year collected,Population designation,neurocranium length,neurocranium height,neurocranium width,total body length,tail length,hindfoot length,,,,,,,
373,F,'SORICIDAE','BLARINA BREVICAUDA','COOK',1922,non-ag,12.1,6.82,12.73,127,27,14,,,,,,,
389,F,'SORICIDAE','BLARINA BREVICAUDA','COOK',1922,Rural,11.53,6.53,12.65,124,26,21,,,,,,,
393,M,'SORICIDAE','BLARINA BREVICAUDA','COOK',1922,Rural,12.1,6.69,11.95,113,26,16,,,,,,,
397,M,'SORICIDAE','BLARINA BREVICAUDA','COOK',1922,non-ag,11.66,6.38,11.79,125,27,16,,,,,,,
652,F,'SORICIDAE','BLARINA BREVICAUDA','COOK',1923,non-ag,11.13,6.6,12.16,110,21,14,,,,,,,
715,F,'SORICIDAE','BLARINA BREVICAUDA','WATONWAN',1912,Rural,12.04,6.24,12.36,130,28,16,,,,,,,
716,M,'SORICIDAE','BLARINA BREVICAUDA','WINONA',1914,Rural,12.38,6.77,12.66,137,30,17,,,,,,,
1060,M,'SORICIDAE','BLARINA BREVICAUDA','RAMSEY',1925,City,12.82,7.03,13.51,133.4,25.4,15.9,,,,,,,
1183,UNKNOWN,'SORICIDAE','BLARINA BREVICAUDA','SWIFT',1936,ag,12.52,6.93,13.52,134.6,30.5,17.8,,,,,,,
1385,UNKNOWN,'SORICIDAE','BLARINA BREVICAUDA','HENNEPIN',1939,City,12.24,6.99,13.78,127,25.4,19,,,,,,,
2356,F,'SORICIDAE','BLARINA BREVICAUDA','PIPESTONE',1947,Rural,12.34,7.08,13.48,131,26,15,,,,,,,
2357,F,'SORICIDAE','BLARINA BREVICAUDA','PIPESTONE',1947,ag,12.19,6.78,12.21,119,33,16,,,,,,,
2507,M,'SORICIDAE','BLARINA BREVICAUDA','FILLMORE',1948,Rural,11.73,6.66,12.65,117,20,15,,,,,,,
2652,M,'SORICIDAE','BLARINA BREVICAUDA','WASHINGTON',1949,City,12.5,7.06,13.54,119,31,16,,,,,,,
2662,M,'SORICIDAE','BLARINA BREVICAUDA','ROCK',1949,ag,12.46,7.24,13.36,127,30,18,,,,,,,
2699,M,'SORICIDAE','BLARINA BREVICAUDA','WILKIN',1949,ag,11.86,6.81,12.59,120,25,15,,,,,,,
2781,UNKNOWN,'SORICIDAE','BLARINA BREVICAUDA','LAKE OF THE WOODS',1949,non-ag,12.02,7.13,12.78,115,25,15,,,,,,,
2843,M,'SORICIDAE','BLARINA BREVICAUDA','LAKE',1940,Rural,11.8,6.85,12.21,110,21,15,,,,,,,
2845,F,'SORICIDAE','BLARINA BREVICAUDA','ITASCA',1938,Rural,12.13,6.73,12.15,120.6,23.8,14.3,,,,,,,
2847,M,'SORICIDAE','BLARINA BREVICAUDA','MARTIN',1940,ag,11.59,7.05,10.31,125,25,16,,,,,,,
2963,F,'SORICIDAE','BLARINA BREVICAUDA','ST. LOUIS',1950,non-ag,11.62,6.46,12.1,111,25,16,,,,,,,
2969,F,'SORICIDAE','BLARINA BREVICAUDA','ST. LOUIS',1950,non-ag,11.74,6.5,12.39,119,25,16,,,,,,,
3293,F,'SORICIDAE','BLARINA BREVICAUDA','LINCOLN',1952,ag,11.28,6.76,13.03,118,25,16,,,,,,,
3294,M,'SORICIDAE','BLARINA BREVICAUDA','LINCOLN',1952,Rural,13.08,6.77,13.49,131,31,12,,,,,,,
3689,F,'SORICIDAE','BLARINA BREVICAUDA','ST. LOUIS',1954,Rural,11.77,6.54,12.5,117,20,15,,,,,,,
3779,M,'SORICIDAE','BLARINA BREVICAUDA','KANDIYOHI',1955,ag,11.83,6.74,12.92,128,22,15,,,,,,,
4161,F,'SORICIDAE','BLARINA BREVICAUDA','GOODHUE',1957,ag,12.54,7.05,13.05,126,30,17,,,,,,,
4167,UNKNOWN,'SORICIDAE','BLARINA BREVICAUDA','HENNEPIN',1957,City,11.23,6.44,13.14,131,30,16,,,,,,,
4168,UNKNOWN,'SORICIDAE','BLARINA BREVICAUDA','HENNEPIN',1958,City,11.35,6.87,13.32,128,30,16,,,,,,,
5050,F,'SORICIDAE','BLARINA BREVICAUDA','WASHINGTON',1950,City,11.71,6.57,13.28,113,25,15,,,,,,,
5558,F,'SORICIDAE','BLARINA BREVICAUDA','RAMSEY',1958,City,11.58,6.98,12.88,120,23,14,,,,,,,
5589,M,'SORICIDAE','BLARINA BREVICAUDA','HOUSTON',1961,Rural,11.59,7.23,13.28,131,30,16,,,,,,,
5921,F,'SORICIDAE','BLARINA BREVICAUDA','SIBLEY',1958,ag,12.19,7.03,13.99,140,31,17,,,,,,,
7438,F,'SORICIDAE','BLARINA BREVICAUDA','COOK',1965,non-ag,11.36,6.56,12.15,107,20,14,,,,,,,
7943,M,'SORICIDAE','BLARINA BREVICAUDA','CROW WING',1966,non-ag,12.09,6.89,13.02,127,23,16,,,,,,,
7948,F,'SORICIDAE','BLARINA BREVICAUDA','CROW WING',1966,non-ag,11.48,6.81,12.58,122,24,15,,,,,,,
7953,M,'SORICIDAE','BLARINA BREVICAUDA','ST. LOUIS',1966,non-ag,12.11,6.58,12.66,120,27,15,,,,,,,
7955,M,'SORICIDAE','BLARINA BREVICAUDA','NOBLES',1966,ag,12.53,7.02,12.88,113,23,17,,,,,,,
8562,F,'SORICIDAE','BLARINA BREVICAUDA','HENNEPIN',1967,City,11.36,6.71,12.57,127,25,16,,,,,,,
8567,M,'SORICIDAE','BLARINA BREVICAUDA','HENNEPIN',1967,City,11.57,6.73,12.95,127,26,17,,,,,,,
8598,F,'SORICIDAE','BLARINA BREVICAUDA','POLK',1967,ag,11.32,6.68,12.15,119,25,16,,,,,,,
8921,F,'SORICIDAE','BLARINA BREVICAUDA','JACKSON',1964,Rural,11.78,6.98,13.35,132,29,16.5,,,,,,,
8922,M,'SORICIDAE','BLARINA BREVICAUDA','JACKSON',1968,ag,12.48,6.85,13.72,135,33,17,,,,,,,
8945,F,'SORICIDAE','BLARINA BREVICAUDA','RAMSEY',1968,City,11.79,6.97,12.91,127,30,15.5,,,,,,,
8946,M,'SORICIDAE','BLARINA BREVICAUDA','RAMSEY',1968,City,11.31,6.91,12.8,122,29,16,,,,,,,
11221,M,'SORICIDAE','BLARINA BREVICAUDA','COOK',1972,non-ag,12.16,6.78,12.54,128,29,16,,,,,,,
11234,F,'SORICIDAE','BLARINA BREVICAUDA','COOK',1972,non-ag,11.97,6.8,12.5,115,26,16,,,,,,,
11928,F,'SORICIDAE','BLARINA BREVICAUDA','CROW WING',1972,non-ag,11.91,6.74,13.3,110,20,15,,,,,,,
11931,M,'SORICIDAE','BLARINA BREVICAUDA','HUBBARD',1972,non-ag,11.89,6.5,12.6,125,25,15,,,,,,,
12322,M,'SORICIDAE','BLARINA BREVICAUDA','RENVILLE',1973,Rural,11.99,6.44,14.06,121,27,17,,,,,,,
13013,F,'SORICIDAE','BLARINA BREVICAUDA','ANOKA',1975,City,12.13,7.05,12.99,119,23,16,,,,,,,
13143,M,'SORICIDAE','BLARINA BREVICAUDA','RAMSEY',1974,City,12.01,6.71,13.1,119,26,14,,,,,,,
13144,F,'SORICIDAE','BLARINA BREVICAUDA','RENVILLE',1974,Rural,11.22,6.67,12.6,112,20,13,,,,,,,
14408,F,'SORICIDAE','BLARINA BREVICAUDA','NORMAN',1979,ag,12.02,6.66,12.8,120,21,16,,,,,,,
14410,M,'SORICIDAE','BLARINA BREVICAUDA','POLK',1979,ag,11.52,6.79,12.59,115,26,17,,,,,,,
14535,F,'SORICIDAE','BLARINA BREVICAUDA','BIG STONE',1982,Rural,11.95,6.67,12.56,120,24,16,,,,,,,
14538,F,'SORICIDAE','BLARINA BREVICAUDA','FARIBAULT',1982,ag,11.97,6.51,12.69,126,23,16,,,,,,,
14704,M,'SORICIDAE','BLARINA BREVICAUDA','NOBLES',1983,Rural,11.75,6.84,13.01,128,25,18,,,,,,,
15056,M,'SORICIDAE','BLARINA BREVICAUDA','CLAY',1988,ag,11.95,6.74,12.65,128,25,16,,,,,,,
15066,F,'SORICIDAE','BLARINA BREVICAUDA','NORMAN',1988,ag,12.42,6.38,12.72,124,28,11,,,,,,,
15410,F,'SORICIDAE','BLARINA BREVICAUDA','WASHINGTON',1988,City,12.62,7.06,13.33,127,25,16,,,,,,,
15420,M,'SORICIDAE','BLARINA BREVICAUDA','WASHINGTON',1988,City,12,6.74,12.09,113,23,16,,,,,,,
